Artist,nov17,mar18,value_growth
Albert Lebourg ,Average Value: 14687.5,Average Value:7025.258750000001,-52.16845106382978
Albert Lebourg ,Similar Objects,Similar Objects,
Albert Lebourg ,"['Cour de ferme (Normandie) USD 11,875 18 ¼ x 30 in. (46.2 x 76 cm.)|', 'Le bas de Meudon depuis les hauteurs de Bellevue USD 17,500 17 1/8 x 24 1/8 in. (43.5 x 63.3 cm.)|']","[""Le Port du Louvre et la Seine devant l'Institut GBP 11,875 15 7/8 x 25 5/8 in. (40.4 x 65 cm.)|"", 'Le bassin à Charenton GBP 7,500 15 3/4 x 25 3/4 in. (40 x 65.4 cm.)|']",
Albert Lebourg ,"['Le bas de Meudon depuis les hauteurs de Bellevue USD 17,500 17 1/8 x 24 1/8 in. (43.5 x 63.3 cm.)|', 'Cour de ferme (Normandie) USD 11,875 18 ¼ x 30 in. (46.2 x 76 cm.)|']","['Le bassin à Charenton GBP 7,500 15 3/4 x 25 3/4 in. (40 x 65.4 cm.)|', ""Le Port du Louvre et la Seine devant l'Institut GBP 11,875 15 7/8 x 25 5/8 in. (40.4 x 65 cm.)|""]",
Alexej von Jawlensky ,Average Value: 175000.0,Average Value:310924.35500000004,77.67106000000003
Alexej von Jawlensky ,Similar Objects,Similar Objects,
Alexej von Jawlensky ,"['Mystischer Kopf: Damenbildnis I USD 175,000 11 3/8 x 7 ¾ in. (29 x 19.7 cm.)|']","['Bretonin GBP 428,750 20 5/8 x 19 1/2 in. (52.5 x 49.5 cm.)|']",
André Brasilier ,Average Value: 65000.0,Average Value:52878.291666666664,-18.648782051282055
André Brasilier ,Similar Objects,Similar Objects,
André Brasilier ,"['Cavalcade portugaise USD 112,500 35 x 45 ½ in. (89 x 115.6 cm.)|', 'La Meute USD 52,500 35 x 45 ¾ in. (89 x 116 cm.)|']","[""Les cavaliers de l'hiver GBP 56,250 28 3/4 x 36 1/4 in. (73 x 92 cm.)|"", 'La colline blanche GBP 100,000 38 1/4 x 57 1/2 in. (97.4 x 146 cm.)|', 'Cinq cavaliers dans les vagues GBP 62,500 45 x 57 1/2 in. (114 x 146 cm.)|']",
André Brasilier ,"['La Meute USD 52,500 35 x 45 ¾ in. (89 x 116 cm.)|', 'Cavalcade portugaise USD 112,500 35 x 45 ½ in. (89 x 115.6 cm.)|']","['La colline blanche GBP 100,000 38 1/4 x 57 1/2 in. (97.4 x 146 cm.)|', 'Cinq cavaliers dans les vagues GBP 62,500 45 x 57 1/2 in. (114 x 146 cm.)|']",
André Brasilier ,"['Les Miroirs USD 30,000 25 ¾ x 19 ¾ in. (65.4 x 50.3 cm.)|', 'Cavalcade portugaise USD 112,500 35 x 45 ½ in. (89 x 115.6 cm.)|', 'La Meute USD 52,500 35 x 45 ¾ in. (89 x 116 cm.)|']","['Cinq cavaliers dans les vagues GBP 62,500 45 x 57 1/2 in. (114 x 146 cm.)|', 'La colline blanche GBP 100,000 38 1/4 x 57 1/2 in. (97.4 x 146 cm.)|']",
André Derain ,Average Value: 30000.0,Average Value:6526.692000000001,-78.24436
André Derain ,Similar Objects,Similar Objects,
André Derain ,"[""L'église de Crécy-en-Brie USD 30,000 21 x 20 in. (54.8 x 53.5 cm.)|""]","[""Portrait d'Alice Derain GBP 3,000 17 1/8 x 15 1/8 in. (43.5 x 38.5 cm.)|"", 'Portrait de femme GBP 15,000 16 1/8 x 13 in. (40.8 x 32.8 cm.)|']",
André Derain ,,"['Portrait de femme GBP 15,000 16 1/8 x 13 in. (40.8 x 32.8 cm.)|', ""Portrait d'Alice Derain GBP 3,000 17 1/8 x 15 1/8 in. (43.5 x 38.5 cm.)|""]",
Aristide Maillol ,Average Value: 77187.5,Average Value:90648.5,17.439352226720647
Aristide Maillol ,Similar Objects,Similar Objects,
Aristide Maillol ,"['Léda USD 162,500 Height: 11 1/8 in. (28.2 cm.)|']",,
Aristide Maillol ,"['Princesse Bibesco USD 15,000 Height: 5 ¾ in. (14.8 cm.)|', 'Léda USD 162,500 Height: 11 1/8 in. (28.2 cm.)|']",,
Armand Guillaumin ,Average Value: 47187.5,Average Value:72518.8,53.682225165562926
Armand Guillaumin ,Similar Objects,Similar Objects,
Armand Guillaumin ,"['La Seine à Charenton USD 50,000 9 5/8 x 14 in. (24.7 x 35.5 cm.)|', 'Autoportrait USD 68,750 17 7/8 x 14 ¾ in. (45.3 x 37.4 cm.)|', 'Notre-Dame de Paris vue des quais USD 37,500 9 ½ x 12 ¾ in. (24 x 32.5 cm.)|', 'Moulin Bouchardon USD 32,500 21 3/8 x 25 ½ in. (54.4 x 65 cm.)|']","[""L'Île Besse à Agay GBP 100,000 29 x 36 3/8 in. (73.5 x 92.3 cm.)|""]",
Armand Guillaumin ,"['Autoportrait USD 68,750 17 7/8 x 14 ¾ in. (45.3 x 37.4 cm.)|', 'Notre-Dame de Paris vue des quais USD 37,500 9 ½ x 12 ¾ in. (24 x 32.5 cm.)|', 'Moulin Bouchardon USD 32,500 21 3/8 x 25 ½ in. (54.4 x 65 cm.)|', 'La Seine à Charenton USD 50,000 9 5/8 x 14 in. (24.7 x 35.5 cm.)|']",,
Armand Guillaumin ,"['Notre-Dame de Paris vue des quais USD 37,500 9 ½ x 12 ¾ in. (24 x 32.5 cm.)|', 'Autoportrait USD 68,750 17 7/8 x 14 ¾ in. (45.3 x 37.4 cm.)|', 'La Seine à Charenton USD 50,000 9 5/8 x 14 in. (24.7 x 35.5 cm.)|', 'Moulin Bouchardon USD 32,500 21 3/8 x 25 ½ in. (54.4 x 65 cm.)|']",,
Armand Guillaumin ,"['Moulin Bouchardon USD 32,500 21 3/8 x 25 ½ in. (54.4 x 65 cm.)|', 'Autoportrait USD 68,750 17 7/8 x 14 ¾ in. (45.3 x 37.4 cm.)|']",,
Auguste Herbin ,Average Value: 225000.0,Average Value:25381.58,-88.71929777777778
Auguste Herbin ,Similar Objects,Similar Objects,
Auguste Herbin ,"[""Portrait d'homme USD 225,000 16 x 13 1/8 in. (40.8 x 33.4 cm.)|""]","['La Loue GBP 35,000 21 1/4 x 28 1/2 in. (54 x 72.8 cm.)|']",
Auguste Rodin ,Average Value: 69107.14285714286,Average Value:43209.11833333334,-37.47517760551248
Auguste Rodin ,Similar Objects,Similar Objects,
Auguste Rodin ,"['Etude pour Le Secret USD 100,000 Height: 4 7/8 in. (12.4 cm.)|', 'Nu féminin debout dit aussi ""Le Jour, Le jour, étude sans bras ni tête"" USD 20,000 Height: 8 ¾ in. (22.3 cm.)|', 'Tête de Balzac au front dégagé et au menton fendu dit aussi Tête type H USD 18,750 Height: 12 in. (30.5 cm.)|', ""L'un des Bourgeois de Calais: Jean de Fiennes, vêtu, réduction USD 175,000 Height: 18 ¼ in. (46.6 cm.)|"", 'Tête de Camille Claudel au bonnet USD 100,000 Height: 9 5/8 in. (24.5 cm.)|', 'Main droite No 1, petit modèle USD 51,250 Height: 4 5/8 in. (11.8 cm.)|', 'Buste de Clémenceau, 2ème impression USD 18,750 Height: 18 7/8 in. (48 cm.)|']","[""L'enfant prodigue, petit modèle GBP 62,500 Height: 21 5/8 in. (55.4 cm.)|""]",
Auguste Rodin ,"['Main droite No 1, petit modèle USD 51,250 Height: 4 5/8 in. (11.8 cm.)|', 'Tête de Balzac au front dégagé et au menton fendu dit aussi Tête type H USD 18,750 Height: 12 in. (30.5 cm.)|', 'Buste de Clémenceau, 2ème impression USD 18,750 Height: 18 7/8 in. (48 cm.)|', 'Nu féminin debout dit aussi ""Le Jour, Le jour, étude sans bras ni tête"" USD 20,000 Height: 8 ¾ in. (22.3 cm.)|', 'Tête de Camille Claudel au bonnet USD 100,000 Height: 9 5/8 in. (24.5 cm.)|', ""L'un des Bourgeois de Calais: Jean de Fiennes, vêtu, réduction USD 175,000 Height: 18 ¼ in. (46.6 cm.)|"", 'Etude pour Le Secret USD 100,000 Height: 4 7/8 in. (12.4 cm.)|']","['Etude de main dite no. 17 GBP 10,000 Height: 2 3/4 in. (7 cm.)|', 'Minotaure, version aux cornes courtes GBP 106,250 Height: 13 1/8 in. (33.3 cm.)|', ""L'enfant prodigue, petit modèle GBP 62,500 Height: 21 5/8 in. (55.4 cm.)|""]",
Auguste Rodin ,"['Nu féminin debout dit aussi ""Le Jour, Le jour, étude sans bras ni tête"" USD 20,000 Height: 8 ¾ in. (22.3 cm.)|', 'Tête de Camille Claudel au bonnet USD 100,000 Height: 9 5/8 in. (24.5 cm.)|', 'Buste de Clémenceau, 2ème impression USD 18,750 Height: 18 7/8 in. (48 cm.)|', 'Tête de Balzac au front dégagé et au menton fendu dit aussi Tête type H USD 18,750 Height: 12 in. (30.5 cm.)|', 'Etude pour Le Secret USD 100,000 Height: 4 7/8 in. (12.4 cm.)|', ""L'un des Bourgeois de Calais: Jean de Fiennes, vêtu, réduction USD 175,000 Height: 18 ¼ in. (46.6 cm.)|""]","['Minotaure, version aux cornes courtes GBP 106,250 Height: 13 1/8 in. (33.3 cm.)|', ""L'enfant prodigue, petit modèle GBP 62,500 Height: 21 5/8 in. (55.4 cm.)|""]",
Auguste Rodin ,"['Tête de Balzac au front dégagé et au menton fendu dit aussi Tête type H USD 18,750 Height: 12 in. (30.5 cm.)|', 'Buste de Clémenceau, 2ème impression USD 18,750 Height: 18 7/8 in. (48 cm.)|', 'Nu féminin debout dit aussi ""Le Jour, Le jour, étude sans bras ni tête"" USD 20,000 Height: 8 ¾ in. (22.3 cm.)|', 'Tête de Camille Claudel au bonnet USD 100,000 Height: 9 5/8 in. (24.5 cm.)|', ""L'un des Bourgeois de Calais: Jean de Fiennes, vêtu, réduction USD 175,000 Height: 18 ¼ in. (46.6 cm.)|""]",,
Auguste Rodin ,"[""L'un des Bourgeois de Calais: Jean de Fiennes, vêtu, réduction USD 175,000 Height: 18 ¼ in. (46.6 cm.)|"", 'Buste de Clémenceau, 2ème impression USD 18,750 Height: 18 7/8 in. (48 cm.)|']",,
Auguste Rodin ,"['Tête de Camille Claudel au bonnet USD 100,000 Height: 9 5/8 in. (24.5 cm.)|', 'Buste de Clémenceau, 2ème impression USD 18,750 Height: 18 7/8 in. (48 cm.)|', ""L'un des Bourgeois de Calais: Jean de Fiennes, vêtu, réduction USD 175,000 Height: 18 ¼ in. (46.6 cm.)|"", 'Nu féminin debout dit aussi ""Le Jour, Le jour, étude sans bras ni tête"" USD 20,000 Height: 8 ¾ in. (22.3 cm.)|', 'Tête de Balzac au front dégagé et au menton fendu dit aussi Tête type H USD 18,750 Height: 12 in. (30.5 cm.)|']",,
Auguste Rodin ,"['Buste de Clémenceau, 2ème impression USD 18,750 Height: 18 7/8 in. (48 cm.)|', ""L'un des Bourgeois de Calais: Jean de Fiennes, vêtu, réduction USD 175,000 Height: 18 ¼ in. (46.6 cm.)|""]",,
Baltasar Lobo ,Average Value: 343750.0,Average Value:32633.460000000003,-90.5066298181818
Baltasar Lobo ,Similar Objects,Similar Objects,
Baltasar Lobo ,"['Grande jeune fille à genoux USD 612,500 Height: 84 ¼ in. (215 cm.)|']","['Élan moyen GBP 50,000 Height: 29 1/8 in. (74 cm.)|']",
Baltasar Lobo ,"['Pensive à genoux USD 75,000 Height: 25 in. (63.5 cm.)|', 'Grande jeune fille à genoux USD 612,500 Height: 84 ¼ in. (215 cm.)|']","['Face au vent bras levé GBP 40,000 Height: 10 3/4 in. (28 cm.)|', 'Élan moyen GBP 50,000 Height: 29 1/8 in. (74 cm.)|']",
Bernard Buffet ,Average Value: 153125.0,Average Value:124043.4074,-18.99206047346939
Bernard Buffet ,Similar Objects,Similar Objects,
Bernard Buffet ,"['Douarnenez, les quais du grand port USD 212,500 35 3/8 x 51 ¼ in. (89.7 x 130.2 cm.)|', 'Les Dahlias USD 212,500 45 ¾ x 31 7/8 in. (116 x 81 cm.)|', 'Les bords du Morin USD 93,750 31 7/8 x 39 3/8 in. (81 x 100 cm.)|']","['Clown blanc au chapeau vert GBP 392,750 39 3/8 x 28 7/8 in. (100 x 73 cm.)|', ""Officier d'Empire, le trompette GBP 150,000 51 1/8 x 35 in. (130 x 89 cm.)|"", 'La falaise GBP 68,750 38 3/8 x 51 1/4 in. (97.5 x 130.5 cm.)|', 'Buick 1953 GBP 150,000 38 1/8 x 51 1/8 in. (97 x 130 cm.)|']",
Bernard Buffet ,"['Nature morte à la cafetière bleue USD 93,750 25 ½ x 18 in. (65 x 46 cm.)|', 'Les Dahlias USD 212,500 45 ¾ x 31 7/8 in. (116 x 81 cm.)|', 'Les bords du Morin USD 93,750 31 7/8 x 39 3/8 in. (81 x 100 cm.)|', 'Douarnenez, les quais du grand port USD 212,500 35 3/8 x 51 ¼ in. (89.7 x 130.2 cm.)|']","[""Officier d'Empire, le trompette GBP 150,000 51 1/8 x 35 in. (130 x 89 cm.)|"", 'Buick 1953 GBP 150,000 38 1/8 x 51 1/8 in. (97 x 130 cm.)|', 'La falaise GBP 68,750 38 3/8 x 51 1/4 in. (97.5 x 130.5 cm.)|']",
Bernard Buffet ,"['Les Dahlias USD 212,500 45 ¾ x 31 7/8 in. (116 x 81 cm.)|', 'Douarnenez, les quais du grand port USD 212,500 35 3/8 x 51 ¼ in. (89.7 x 130.2 cm.)|', 'Les bords du Morin USD 93,750 31 7/8 x 39 3/8 in. (81 x 100 cm.)|']","['Buick 1953 GBP 150,000 38 1/8 x 51 1/8 in. (97 x 130 cm.)|', ""Officier d'Empire, le trompette GBP 150,000 51 1/8 x 35 in. (130 x 89 cm.)|"", 'Clown blanc au chapeau vert GBP 392,750 39 3/8 x 28 7/8 in. (100 x 73 cm.)|', 'La falaise GBP 68,750 38 3/8 x 51 1/4 in. (97.5 x 130.5 cm.)|']",
Bernard Buffet ,"['Les bords du Morin USD 93,750 31 7/8 x 39 3/8 in. (81 x 100 cm.)|', 'Les Dahlias USD 212,500 45 ¾ x 31 7/8 in. (116 x 81 cm.)|', 'Douarnenez, les quais du grand port USD 212,500 35 3/8 x 51 ¼ in. (89.7 x 130.2 cm.)|']","['Pavots rouges GBP 93,750 25 1/2 x 18 1/8 in. (64.8 x 46 cm.)|', 'Buick 1953 GBP 150,000 38 1/8 x 51 1/8 in. (97 x 130 cm.)|', 'Clown blanc au chapeau vert GBP 392,750 39 3/8 x 28 7/8 in. (100 x 73 cm.)|', ""Officier d'Empire, le trompette GBP 150,000 51 1/8 x 35 in. (130 x 89 cm.)|"", 'La falaise GBP 68,750 38 3/8 x 51 1/4 in. (97.5 x 130.5 cm.)|']",
Bernard Buffet ,,"['La falaise GBP 68,750 38 3/8 x 51 1/4 in. (97.5 x 130.5 cm.)|', ""Officier d'Empire, le trompette GBP 150,000 51 1/8 x 35 in. (130 x 89 cm.)|"", 'Buick 1953 GBP 150,000 38 1/8 x 51 1/8 in. (97 x 130 cm.)|', 'Clown blanc au chapeau vert GBP 392,750 39 3/8 x 28 7/8 in. (100 x 73 cm.)|']",
Camille Bombois ,Average Value: 40000.0,Average Value:1722.3215000000002,-95.69419625
Camille Bombois ,Similar Objects,Similar Objects,
Camille Bombois ,"['Deux enfants jouant dans la forêt USD 40,000 23 5/8 x 28 7/8 in. (60 x 73.3 cm.)|']",,
Carlos Nadal ,Average Value: 17500.0,Average Value:30367.247500000005,73.5271285714286
Carlos Nadal ,Similar Objects,Similar Objects,
Carlos Nadal ,"[""Soutine chez l'amateur USD 20,000 23 5/8 x 28 7/8 in. (60 x 73.4 cm.)|""]","['Puerto Barcelona GBP 27,500 28 3/4 x 36 1/8 in. (73 x 91.8 cm.)|', 'Basilique de St. Marc GBP 56,250 25 1/2 x 31 3/4 in. x (65 x 81 cm.)|']",
Carlos Nadal ,"['Bodegón USD 15,000 15 ½ x 18 ½ in. (39.5 x 47 cm.)|', ""Soutine chez l'amateur USD 20,000 23 5/8 x 28 7/8 in. (60 x 73.4 cm.)|""]","['Basilique de St. Marc GBP 56,250 25 1/2 x 31 3/4 in. x (65 x 81 cm.)|', 'Puerto Barcelona GBP 27,500 28 3/4 x 36 1/8 in. (73 x 91.8 cm.)|']",
Chaïm Soutine ,Average Value: 702500.0,Average Value:406649.17100000003,-42.11399701067615
Chaïm Soutine ,Similar Objects,Similar Objects,
Chaïm Soutine ,"[""L'arbre de Vence USD 792,500 29 ½ x 26 ¼ in. (75 x 66.2 cm.)|"", 'Nature morte au poisson USD 612,500 18 ¼ x 28 7/8 in. (46.3 x 73.3 cm.)|']","['Maisons au bord de mer GBP 224,750 26 1/2 x 21 1/4 in. (67.4 x 53.8 cm.)|']",
Chaïm Soutine ,"['Nature morte au poisson USD 612,500 18 ¼ x 28 7/8 in. (46.3 x 73.3 cm.)|', ""L'arbre de Vence USD 792,500 29 ½ x 26 ¼ in. (75 x 66.2 cm.)|""]","['Portrait de Charlot GBP 896,750 11 3/4 x 9 7/8 in. (30.4 x 25.1 cm.)|', 'Maisons au bord de mer GBP 224,750 26 1/2 x 21 1/4 in. (67.4 x 53.8 cm.)|']",
Diego Giacometti ,Average Value: 125000.0,Average Value:215199.53900000002,72.15963120000002
Diego Giacometti ,Similar Objects,Similar Objects,
Diego Giacometti ,,"['Lampadaire aux trois oiseaux GBP 344,750 Height: 57 1/2 in. (146 cm.)|']",
Eugène Boudin ,Average Value: 205357.14285714287,Average Value:151890.62660000002,-26.035868786086954
Eugène Boudin ,Similar Objects,Similar Objects,
Eugène Boudin ,"['Trouville, Scène de plage USD 187,500 5 3/8 x 10 3/8 in. (13.8 x 26.5 cm.)|', 'Le port de Trouville USD 100,000 7 x 9 7/8 in. (17.8 x 25.1 cm.)|', 'Trouville, les jetées, marée haute USD 237,500 12 3/8 x 15 7/8 in. (31.5 x 40.3 cm.)|', 'Portrieux, le port marée basse USD 87,500 14 ½ x 23 1/8 in. (37 x 58.7 cm.)|', 'Voiliers, marée basse USD 37,500 14 x 18 3/8 in. (35.5 x 46.8 cm.)|', 'Villerville, Rivage, marée montante octobre USD 612,500 21 7/8 x 36 ¼ in. (55.6 x 92.3 cm.)|', 'Le quai de Camaret, Pêcheur attendant la marée USD 175,000 14 ½ x 23 in. (36.8 x 58.4 cm.)|']","['Scéne de plage à Trouville GBP 548,750 6 3/4 x 13 7/8 in. (17.1 x 35.2 cm.)|', 'Deauville. Scène de plage GBP 344,750 7 1/2 x 12 3/4 in. (19 x 32.3 cm.)|', 'Le pont Corneille, Rouen, effet de brouillard GBP 56,250 16 1/8 x 21 7/8 in. (41.3 x 55.7 cm.)|', 'Trouville. Les jetées GBP 37,500 8 3/8 x 10 3/4 in. (21.3 x 27.3 cm.)|', 'Trouville. Les jetées GBP 60,000 10 5/8 x 8 5/8 in. (21.7 x 27 cm.)|']",
Eugène Boudin ,"['Villerville, Rivage, marée montante octobre USD 612,500 21 7/8 x 36 ¼ in. (55.6 x 92.3 cm.)|']","['Deauville. Scène de plage GBP 344,750 7 1/2 x 12 3/4 in. (19 x 32.3 cm.)|', 'Trouville. Les jetées GBP 37,500 8 3/8 x 10 3/4 in. (21.3 x 27.3 cm.)|', 'Trouville. Les jetées GBP 60,000 10 5/8 x 8 5/8 in. (21.7 x 27 cm.)|', 'Le pont Corneille, Rouen, effet de brouillard GBP 56,250 16 1/8 x 21 7/8 in. (41.3 x 55.7 cm.)|', 'Scéne de plage à Trouville GBP 548,750 6 3/4 x 13 7/8 in. (17.1 x 35.2 cm.)|']",
Eugène Boudin ,"['Le port de Trouville USD 100,000 7 x 9 7/8 in. (17.8 x 25.1 cm.)|', 'Villerville, Rivage, marée montante octobre USD 612,500 21 7/8 x 36 ¼ in. (55.6 x 92.3 cm.)|', 'Voiliers, marée basse USD 37,500 14 x 18 3/8 in. (35.5 x 46.8 cm.)|', 'Le quai de Camaret, Pêcheur attendant la marée USD 175,000 14 ½ x 23 in. (36.8 x 58.4 cm.)|', 'Trouville, les jetées, marée haute USD 237,500 12 3/8 x 15 7/8 in. (31.5 x 40.3 cm.)|', 'Trouville, Scène de plage USD 187,500 5 3/8 x 10 3/8 in. (13.8 x 26.5 cm.)|', 'Portrieux, le port marée basse USD 87,500 14 ½ x 23 1/8 in. (37 x 58.7 cm.)|']","['Trouville. Les jetées GBP 37,500 8 3/8 x 10 3/4 in. (21.3 x 27.3 cm.)|', 'Deauville. Scène de plage GBP 344,750 7 1/2 x 12 3/4 in. (19 x 32.3 cm.)|', 'Scéne de plage à Trouville GBP 548,750 6 3/4 x 13 7/8 in. (17.1 x 35.2 cm.)|', 'Le pont Corneille, Rouen, effet de brouillard GBP 56,250 16 1/8 x 21 7/8 in. (41.3 x 55.7 cm.)|', 'Trouville. Les jetées GBP 60,000 10 5/8 x 8 5/8 in. (21.7 x 27 cm.)|']",
Eugène Boudin ,"['Trouville, les jetées, marée haute USD 237,500 12 3/8 x 15 7/8 in. (31.5 x 40.3 cm.)|', 'Le quai de Camaret, Pêcheur attendant la marée USD 175,000 14 ½ x 23 in. (36.8 x 58.4 cm.)|', 'Voiliers, marée basse USD 37,500 14 x 18 3/8 in. (35.5 x 46.8 cm.)|', 'Villerville, Rivage, marée montante octobre USD 612,500 21 7/8 x 36 ¼ in. (55.6 x 92.3 cm.)|', 'Portrieux, le port marée basse USD 87,500 14 ½ x 23 1/8 in. (37 x 58.7 cm.)|']","['Trouville. Les jetées GBP 60,000 10 5/8 x 8 5/8 in. (21.7 x 27 cm.)|', 'Trouville. Les jetées GBP 37,500 8 3/8 x 10 3/4 in. (21.3 x 27.3 cm.)|', 'Scéne de plage à Trouville GBP 548,750 6 3/4 x 13 7/8 in. (17.1 x 35.2 cm.)|', 'Deauville. Scène de plage GBP 344,750 7 1/2 x 12 3/4 in. (19 x 32.3 cm.)|', 'Le pont Corneille, Rouen, effet de brouillard GBP 56,250 16 1/8 x 21 7/8 in. (41.3 x 55.7 cm.)|']",
Eugène Boudin ,"['Portrieux, le port marée basse USD 87,500 14 ½ x 23 1/8 in. (37 x 58.7 cm.)|', 'Villerville, Rivage, marée montante octobre USD 612,500 21 7/8 x 36 ¼ in. (55.6 x 92.3 cm.)|', 'Voiliers, marée basse USD 37,500 14 x 18 3/8 in. (35.5 x 46.8 cm.)|', 'Le quai de Camaret, Pêcheur attendant la marée USD 175,000 14 ½ x 23 in. (36.8 x 58.4 cm.)|', 'Trouville, les jetées, marée haute USD 237,500 12 3/8 x 15 7/8 in. (31.5 x 40.3 cm.)|']","['Le pont Corneille, Rouen, effet de brouillard GBP 56,250 16 1/8 x 21 7/8 in. (41.3 x 55.7 cm.)|']",
Eugène Boudin ,"['Voiliers, marée basse USD 37,500 14 x 18 3/8 in. (35.5 x 46.8 cm.)|', 'Le quai de Camaret, Pêcheur attendant la marée USD 175,000 14 ½ x 23 in. (36.8 x 58.4 cm.)|', 'Villerville, Rivage, marée montante octobre USD 612,500 21 7/8 x 36 ¼ in. (55.6 x 92.3 cm.)|', 'Portrieux, le port marée basse USD 87,500 14 ½ x 23 1/8 in. (37 x 58.7 cm.)|', 'Trouville, les jetées, marée haute USD 237,500 12 3/8 x 15 7/8 in. (31.5 x 40.3 cm.)|']",,
Eugène Boudin ,"['Le quai de Camaret, Pêcheur attendant la marée USD 175,000 14 ½ x 23 in. (36.8 x 58.4 cm.)|', 'Trouville, les jetées, marée haute USD 237,500 12 3/8 x 15 7/8 in. (31.5 x 40.3 cm.)|', 'Portrieux, le port marée basse USD 87,500 14 ½ x 23 1/8 in. (37 x 58.7 cm.)|', 'Voiliers, marée basse USD 37,500 14 x 18 3/8 in. (35.5 x 46.8 cm.)|', 'Villerville, Rivage, marée montante octobre USD 612,500 21 7/8 x 36 ¼ in. (55.6 x 92.3 cm.)|']",,
